,pos,vel,angle,depth,width,res-force
333,11.0,13.82136,2.31826,4.9982,1.0,51775.03746633431
334,11.0,13.83337,1.43609,3.0148,1.0,61507.49249142643
335,11.0,13.87658,0.67754,3.93779,1.0,78762.94086373138
336,11.0,13.90118,1.88858,3.75595,3.0,54669.48691521903
337,11.0,13.91078,1.89518,2.85997,1.0,56878.709403186964
338,11.0,13.91198,2.13283,2.43629,2.0,50119.063537356305
339,11.0,13.95759,1.95579,2.35587,2.0,55304.86527245255
340,11.0,13.95939,1.10602,2.83177,3.0,69395.93214979571
341,11.0,13.96419,1.0118,3.74875,2.0,71796.0366574615
342,11.0,13.97259,0.56471,2.4951,3.0,75057.28135805039
343,11.0,13.978,0.93199,3.9948,2.0,72266.74474790653
344,11.0,14.0086,1.987,3.14623,3.0,54339.747739402635
345,11.0,14.04581,0.18784,4.76955,3.0,94248.1789140751
346,11.0,14.06681,0.9788,3.57471,1.0,77396.95675356576
347,11.0,14.08122,1.65933,4.43469,1.0,59547.760040196656
348,11.0,14.08962,2.16343,3.66833,3.0,50625.0917686978
349,11.0,14.09862,1.11082,2.06121,3.0,75168.85896296099
350,11.0,14.10882,1.45529,4.85777,3.0,62468.57723369474
351,11.0,14.15443,2.66933,3.75355,1.0,51308.43068335933
352,11.0,14.17724,2.76655,3.71454,3.0,52098.38263265856
353,11.0,14.21984,1.66233,3.40488,1.0,60466.97123864875
354,11.0,14.24505,0.9986,2.33667,3.0,74833.84313344488
355,11.0,14.26425,1.43249,4.21024,1.0,68543.40603134267
356,11.0,14.27806,0.90198,4.78396,2.0,72118.03629277194
357,11.0,14.31706,1.03221,3.14143,1.0,76547.91852376137
358,11.0,14.32967,0.04621,3.76675,1.0,114344.13099393867
359,11.0,14.33447,2.12503,3.63893,1.0,53368.18558752835
360,11.0,14.34287,1.59332,3.52731,3.0,61495.84915837125
361,11.0,14.37588,1.10182,4.03201,1.0,73801.42792165872
362,11.0,14.38308,0.4795,3.24585,2.0,86529.03034150177
363,11.0,14.41488,2.24145,4.74975,2.0,54572.257894349335
364,11.0,14.42088,1.56151,3.55611,3.0,63550.44445690782
365,11.0,14.42809,2.37467,3.06401,2.0,52159.34669183437
366,11.0,14.43289,0.983,4.63213,1.0,75630.06525511811
367,11.0,14.43709,1.40188,2.986,3.0,67486.9596030101
368,11.0,14.44069,0.5065,4.86437,2.0,80782.82849765713
369,11.0,14.44309,2.43469,3.46009,2.0,53967.79841526274
370,11.0,14.44849,2.4887,3.43249,2.0,54315.18102774406
371,11.0,14.45029,2.70414,2.92418,2.0,51116.57948525841
372,11.0,14.47369,1.42168,2.21844,3.0,66120.39986886032
373,11.0,14.4887,1.58432,2.79456,1.0,64357.10866565806
374,11.0,14.5007,0.10442,2.61272,3.0,104316.58576514856
375,11.0,14.5055,0.63433,4.64473,3.0,87097.84490622282
376,11.0,14.5109,1.80936,2.18664,1.0,59745.682255520325
377,11.0,14.52651,2.11782,4.4935,3.0,54517.561746019506
378,11.0,14.58352,1.11502,4.53611,2.0,72196.78298430344
379,11.0,14.58652,2.09262,4.44249,1.0,52755.20745898083
380,11.0,14.62312,2.45149,4.81696,1.0,52613.26536754196
381,11.0,14.65673,2.21624,3.10362,2.0,54654.84583168784
382,11.0,14.66393,1.80516,3.85017,1.0,60495.06177405605
383,11.0,14.66633,2.28286,2.43089,1.0,55464.79642561015
384,11.0,14.66993,2.26545,4.06981,1.0,55400.85165381291
385,11.0,14.69274,0.79936,2.31806,2.0,76368.64077535411
386,11.0,14.69334,2.05061,2.58872,1.0,54163.572972322996
387,11.0,14.77616,1.17083,4.28406,1.0,72302.61577127164
388,11.0,14.80556,0.82336,2.37988,2.0,74434.29715618261
389,11.0,14.87277,2.91118,4.70414,1.0,51034.901377030576
390,11.0,14.89438,1.74455,4.25465,1.0,57783.02128040612
391,11.0,14.89738,1.07361,2.25085,3.0,73868.1855022094
392,11.0,14.93639,2.75635,4.63813,2.0,54137.24052942112
393,11.0,14.95319,0.32466,3.96659,3.0,95764.4080863282
394,11.0,14.96879,2.59612,4.38368,2.0,50915.61973790957
395,12.0,12.0036,1.70134,2.65233,3.0,54402.23496529715
396,12.0,12.0072,1.40308,2.52871,2.0,59714.09224011072
397,12.0,12.021,2.28346,4.16283,3.0,52938.857935277025
398,12.0,12.04561,1.18404,4.35907,1.0,64494.76611421123
399,12.0,12.05641,2.36807,4.05721,1.0,51959.123269376556
400,12.0,12.06001,1.80876,3.54411,2.0,52243.24969893882
401,12.0,12.06721,2.4791,2.36367,3.0,53209.77769852978
402,12.0,12.07261,0.53771,3.85917,2.0,82291.8170949392
403,12.0,12.08282,1.76615,2.85937,2.0,51460.85096508884
404,12.0,12.11702,2.67654,4.4959,3.0,53735.96067758031
405,12.0,12.20344,0.55031,4.26965,1.0,80464.39946067103
406,12.0,12.21124,2.37828,4.85357,1.0,52857.85196895597
407,12.0,12.23645,1.79976,2.46329,1.0,53592.56380249686
408,12.0,12.24425,0.84257,4.19524,1.0,74632.20478200915
409,12.0,12.25085,1.14323,2.74775,3.0,66942.44582135203
410,12.0,12.25265,0.11882,3.07061,2.0,101883.67692769122
411,12.0,12.27305,2.25945,2.58212,3.0,52943.40410793232
412,12.0,12.28926,1.95159,4.74315,2.0,55143.863912308945
413,12.0,12.30366,2.42509,2.27485,3.0,52783.518382945134
414,12.0,12.31506,0.31806,2.91818,3.0,86673.71165214365
415,12.0,12.31746,2.06141,4.13823,3.0,54678.66222822559
416,12.0,12.36547,0.16023,3.0064,3.0,92611.67727221281
417,12.0,12.37207,1.22364,2.68474,1.0,68886.61177460967
418,12.0,12.39428,2.74075,4.32426,3.0,53861.08951066639
419,12.0,12.41048,2.5061,4.89978,2.0,52583.63666672802
420,12.0,12.42008,1.58852,3.19244,1.0,54818.55236619162
421,12.0,12.42729,0.45909,3.90538,1.0,88462.15807639985
